Date,HomeTeam,AwayTeam,FullTime_HomeTeam_Goals,FullTime_AwayTeam_Goals,FullTime_Result,HalfTime_HomeTeam_Goals,HalfTime_AwayTeam_Goals,HalfTime_Result,HomeTeam_Shots,AwayTeam_Shots,HomeTeam_ShotsOnTarget,AwayTeam_ShotsOnTarget,HomeTeam_FoulsCommitted,AwayTeam_FoulsCommitted,HomeTeam_Corners,AwayTeam_Corners,HomeTeam_YellowCards,AwayTeam_YellowCards,HomeTeam_RedCards,AwayTeam_RedCards
28/08/10,Hercules,Ath Bilbao,0,1,A,0,0,D,9,14,3,5,15,18,10,1,2,4,1,0
28/08/10,Levante,Sevilla,1,4,A,1,2,A,7,14,4,8,20,22,4,2,4,4,0,0
28/08/10,Malaga,Valencia,1,3,A,1,1,D,19,21,5,8,16,15,7,10,2,5,0,0
29/08/10,Espanol,Getafe,3,1,H,1,0,H,17,13,8,1,17,9,8,4,3,4,0,0
29/08/10,La Coruna,Zaragoza,0,0,D,0,0,D,8,8,2,3,16,19,4,6,0,1,0,0
29/08/10,Mallorca,Real Madrid,0,0,D,0,0,D,7,16,2,5,16,15,1,4,2,2,0,0
29/08/10,Osasuna,Almeria,0,0,D,0,0,D,13,3,2,0,22,18,9,3,4,1,0,1
29/08/10,Santander,Barcelona,0,3,A,0,2,A,11,9,7,5,21,14,6,5,4,1,0,0
29/08/10,Sociedad,Villarreal,1,0,H,0,0,D,10,23,3,5,15,21,7,4,3,3,0,0
30/08/10,Ath Madrid,Sp Gijon,4,0,H,2,0,H,16,18,7,8,13,22,2,3,3,3,0,0
11/09/10,Ath Bilbao,Ath Madrid,1,2,A,0,1,A,18,11,3,5,22,13,6,1,4,5,0,0
11/09/10,Barcelona,Hercules,0,2,A,0,1,A,17,9,9,7,7,8,14,2,2,2,0,0
11/09/10,Real Madrid,Osasuna,1,0,H,0,0,D,25,4,7,1,20,27,9,3,2,2,0,0
11/09/10,Valencia,Santander,1,0,H,1,0,H,14,15,5,7,19,15,6,8,4,2,0,0
12/09/10,Getafe,Levante,4,1,H,2,1,H,21,7,10,2,19,14,13,7,3,4,0,0
12/09/10,Sevilla,La Coruna,0,0,D,0,0,D,26,12,10,2,9,12,8,5,3,3,0,0
12/09/10,Sp Gijon,Mallorca,2,0,H,0,0,D,12,9,6,1,19,11,2,2,2,2,0,1
12/09/10,Villarreal,Espanol,4,0,H,2,0,H,11,15,5,5,16,19,3,8,6,6,0,1
12/09/10,Zaragoza,Malaga,3,5,A,1,5,A,32,12,10,8,11,13,10,1,2,2,0,0
13/09/10,Almeria,Sociedad,2,2,D,1,2,A,18,15,7,6,17,13,6,4,4,2,0,0
18/09/10,Espanol,Almeria,1,0,H,0,0,D,13,4,4,1,23,12,7,2,3,3,0,0
18/09/10,Mallorca,Osasuna,2,0,H,1,0,H,13,12,5,4,8,20,6,5,0,2,0,0
18/09/10,Sociedad,Real Madrid,1,2,A,0,0,D,10,22,1,10,13,15,8,3,1,2,0,0
18/09/10,Sp Gijon,Ath Bilbao,2,2,D,2,1,H,10,17,5,7,15,13,5,6,3,3,0,0
19/09/10,Ath Madrid,Barcelona,1,2,A,1,2,A,7,16,4,8,21,15,6,6,4,5,1,0
19/09/10,Hercules,Valencia,1,2,A,1,2,A,13,8,7,4,12,12,5,1,2,4,0,1
19/09/10,Levante,Villarreal,1,2,A,0,2,A,15,8,2,5,9,17,6,2,1,1,0,0
19/09/10,Malaga,Sevilla,1,2,A,1,2,A,8,19,5,6,13,22,3,8,2,6,0,0
19/09/10,Santander,Zaragoza,2,0,H,0,0,D,8,7,4,1,14,22,3,2,1,4,0,0
20/09/10,La Coruna,Getafe,2,2,D,0,1,A,26,12,11,2,7,13,5,7,1,4,0,1
21/09/10,Ath Bilbao,Mallorca,3,0,H,1,0,H,12,15,6,3,22,12,9,3,1,0,0,0
21/09/10,Osasuna,Sociedad,3,1,H,2,1,H,17,8,5,2,22,10,7,5,3,2,0,0
21/09/10,Real Madrid,Espanol,3,0,H,1,0,H,20,9,7,3,15,11,8,5,2,2,1,2
22/09/10,Almeria,Levante,0,1,A,0,1,A,19,6,5,2,10,12,6,5,4,2,0,0
22/09/10,Barcelona,Sp Gijon,1,0,H,0,0,D,16,3,5,0,14,15,8,4,2,5,0,0
22/09/10,Valencia,Ath Madrid,1,1,D,0,1,A,16,6,4,2,15,17,13,2,5,3,0,0
22/09/10,Zaragoza,Hercules,0,0,D,0,0,D,20,5,5,4,22,17,8,2,4,2,0,0
23/09/10,Getafe,Malaga,0,2,A,0,0,D,24,15,7,5,21,16,10,4,1,3,1,1
23/09/10,Sevilla,Santander,1,1,D,1,0,H,14,13,4,4,14,13,9,5,0,2,0,0
23/09/10,Villarreal,La Coruna,1,0,H,1,0,H,19,14,8,4,13,17,4,1,2,3,0,0
25/09/10,Ath Bilbao,Barcelona,1,3,A,0,0,D,11,25,4,10,8,8,1,8,1,1,1,1
25/09/10,Levante,Real Madrid,0,0,D,0,0,D,4,25,0,6,15,11,2,6,5,2,0,0
25/09/10,Sp Gijon,Valencia,0,2,A,0,2,A,10,8,1,5,19,13,6,2,3,0,0,0
26/09/10,Ath Madrid,Zaragoza,1,0,H,1,0,H,12,19,4,6,15,18,5,3,7,3,1,0
26/09/10,Espanol,Osasuna,1,0,H,1,0,H,26,7,7,2,9,15,8,6,2,2,0,1
26/09/10,Hercules,Sevilla,2,0,H,2,0,H,7,15,3,5,22,14,3,1,2,1,0,0
26/09/10,La Coruna,Almeria,0,2,A,0,2,A,15,15,7,6,20,11,6,4,2,2,1,0
