Date,HomeTeam,AwayTeam,FullTime_HomeTeam_Goals,FullTime_AwayTeam_Goals,FullTime_Result,HalfTime_HomeTeam_Goals,HalfTime_AwayTeam_Goals,HalfTime_Result,HomeTeam_Shots,AwayTeam_Shots,HomeTeam_ShotsOnTarget,AwayTeam_ShotsOnTarget,HomeTeam_FoulsCommitted,AwayTeam_FoulsCommitted,HomeTeam_Corners,AwayTeam_Corners,HomeTeam_YellowCards,AwayTeam_YellowCards,HomeTeam_RedCards,AwayTeam_RedCards
07/08/10,Auxerre,Lorient,2,2,D,1.0,1.0,D,11.0,10.0,6.0,2.0,14.0,9.0,3.0,3.0,3.0,3.0,0.0,0.0
07/08/10,Lens,Nancy,1,2,A,0.0,1.0,A,17.0,19.0,6.0,6.0,17.0,18.0,2.0,4.0,3.0,1.0,0.0,1.0
07/08/10,Lyon,Monaco,0,0,D,0.0,0.0,D,16.0,9.0,5.0,4.0,14.0,24.0,3.0,5.0,2.0,3.0,0.0,0.0
07/08/10,Marseille,Caen,1,2,A,0.0,0.0,D,16.0,12.0,3.0,2.0,16.0,23.0,6.0,3.0,2.0,3.0,0.0,0.0
07/08/10,Nice,Valenciennes,0,0,D,0.0,0.0,D,10.0,11.0,2.0,1.0,11.0,20.0,4.0,6.0,0.0,3.0,0.0,0.0
07/08/10,Paris SG,St Etienne,3,1,H,2.0,1.0,H,19.0,14.0,6.0,5.0,11.0,12.0,6.0,7.0,2.0,1.0,0.0,0.0
07/08/10,Rennes,Lille,1,1,D,1.0,0.0,H,20.0,14.0,5.0,5.0,23.0,21.0,6.0,3.0,3.0,3.0,0.0,0.0
07/08/10,Sochaux,Arles,2,1,H,1.0,1.0,D,14.0,10.0,6.0,1.0,16.0,19.0,10.0,3.0,2.0,4.0,0.0,0.0
07/08/10,Toulouse,Brest,2,0,H,1.0,0.0,H,9.0,9.0,4.0,1.0,21.0,18.0,2.0,3.0,3.0,2.0,0.0,0.0
08/08/10,Montpellier,Bordeaux,1,0,H,0.0,0.0,D,9.0,8.0,3.0,1.0,22.0,13.0,5.0,1.0,5.0,2.0,0.0,0.0
14/08/10,Arles,Lens,0,1,A,0.0,0.0,D,11.0,10.0,3.0,4.0,13.0,17.0,4.0,4.0,1.0,0.0,0.0,0.0
15/08/10,Bordeaux,Toulouse,1,2,A,0.0,1.0,A,10.0,6.0,3.0,3.0,17.0,22.0,4.0,1.0,2.0,4.0,0.0,0.0
14/08/10,Brest,Auxerre,1,1,D,1.0,0.0,H,11.0,12.0,3.0,4.0,29.0,16.0,8.0,7.0,2.0,3.0,0.0,0.0
15/08/10,Caen,Lyon,3,2,H,2.0,2.0,D,12.0,16.0,7.0,2.0,16.0,17.0,4.0,2.0,2.0,1.0,0.0,1.0
15/08/10,Lille,Paris SG,0,0,D,0.0,0.0,D,11.0,10.0,1.0,4.0,16.0,14.0,5.0,1.0,1.0,4.0,0.0,0.0
14/08/10,Lorient,Nice,1,2,A,1.0,1.0,D,11.0,14.0,2.0,5.0,11.0,15.0,5.0,5.0,1.0,2.0,0.0,0.0
14/08/10,Nancy,Rennes,0,3,A,0.0,0.0,D,9.0,15.0,2.0,6.0,13.0,13.0,5.0,2.0,0.0,0.0,1.0,0.0
14/08/10,St Etienne,Sochaux,3,2,H,1.0,0.0,H,17.0,16.0,7.0,6.0,20.0,14.0,7.0,10.0,2.0,1.0,0.0,0.0
14/08/10,Valenciennes,Marseille,3,2,H,0.0,0.0,D,13.0,14.0,6.0,3.0,20.0,10.0,2.0,6.0,3.0,4.0,0.0,0.0
17/08/10,Monaco,Montpellier,0,0,D,0.0,0.0,D,10.0,19.0,2.0,4.0,17.0,12.0,1.0,1.0,1.0,3.0,0.0,0.0
21/08/10,Auxerre,Valenciennes,1,1,D,0.0,0.0,D,9.0,7.0,2.0,2.0,19.0,11.0,7.0,4.0,3.0,2.0,0.0,0.0
21/08/10,Lens,Monaco,2,2,D,0.0,1.0,A,23.0,7.0,6.0,2.0,3.0,20.0,7.0,0.0,1.0,5.0,0.0,0.0
21/08/10,Lyon,Brest,1,0,H,1.0,0.0,H,13.0,18.0,7.0,3.0,15.0,19.0,6.0,6.0,1.0,3.0,0.0,0.0
21/08/10,Marseille,Lorient,2,0,H,1.0,0.0,H,16.0,12.0,6.0,5.0,19.0,15.0,5.0,3.0,2.0,3.0,0.0,0.0
21/08/10,Nice,Nancy,1,1,D,1.0,0.0,H,9.0,13.0,4.0,6.0,12.0,17.0,3.0,3.0,1.0,3.0,0.0,1.0
21/08/10,Rennes,St Etienne,0,0,D,0.0,0.0,D,19.0,9.0,2.0,2.0,18.0,19.0,5.0,0.0,2.0,2.0,0.0,0.0
21/08/10,Toulouse,Arles,2,1,H,1.0,0.0,H,8.0,8.0,3.0,3.0,22.0,15.0,5.0,1.0,3.0,2.0,0.0,0.0
22/08/10,Montpellier,Caen,0,0,D,0.0,0.0,D,19.0,2.0,5.0,0.0,17.0,23.0,4.0,1.0,2.0,2.0,0.0,0.0
22/08/10,Paris SG,Bordeaux,1,2,A,0.0,0.0,D,15.0,10.0,6.0,4.0,11.0,16.0,6.0,5.0,1.0,5.0,0.0,0.0
22/08/10,Sochaux,Lille,0,0,D,0.0,0.0,D,9.0,17.0,1.0,7.0,12.0,11.0,3.0,6.0,1.0,2.0,0.0,0.0
28/08/10,Arles,Rennes,0,1,A,0.0,1.0,A,12.0,7.0,4.0,1.0,11.0,16.0,6.0,1.0,1.0,1.0,0.0,0.0
28/08/10,Caen,Brest,0,2,A,0.0,0.0,D,7.0,16.0,1.0,4.0,22.0,17.0,6.0,6.0,4.0,2.0,1.0,0.0
28/08/10,Lorient,Lyon,2,0,H,1.0,0.0,H,15.0,14.0,7.0,4.0,17.0,12.0,3.0,8.0,0.0,0.0,0.0,0.0
28/08/10,Nancy,Toulouse,0,2,A,0.0,0.0,D,16.0,13.0,5.0,6.0,22.0,17.0,5.0,3.0,4.0,2.0,0.0,0.0
28/08/10,St Etienne,Lens,3,1,H,1.0,0.0,H,14.0,13.0,6.0,6.0,19.0,18.0,3.0,6.0,1.0,1.0,1.0,0.0
28/08/10,Valenciennes,Montpellier,0,1,A,0.0,1.0,A,9.0,15.0,2.0,5.0,19.0,16.0,5.0,1.0,3.0,1.0,0.0,0.0
29/08/10,Bordeaux,Marseille,1,1,D,0.0,1.0,A,14.0,8.0,4.0,5.0,14.0,20.0,9.0,4.0,1.0,2.0,0.0,1.0
29/08/10,Lille,Nice,1,1,D,0.0,1.0,A,17.0,7.0,5.0,3.0,13.0,25.0,18.0,3.0,0.0,5.0,0.0,0.0
29/08/10,Monaco,Auxerre,2,0,H,0.0,0.0,D,20.0,11.0,5.0,1.0,16.0,11.0,10.0,5.0,0.0,0.0,0.0,0.0
29/08/10,Sochaux,Paris SG,3,1,H,3.0,0.0,H,15.0,19.0,7.0,8.0,14.0,15.0,7.0,10.0,2.0,1.0,0.0,1.0
11/09/10,Auxerre,Caen,1,1,D,1.0,0.0,H,11.0,12.0,5.0,2.0,18.0,16.0,1.0,5.0,0.0,3.0,0.0,0.0
11/09/10,Lens,Lille,1,4,A,0.0,1.0,A,8.0,19.0,5.0,6.0,16.0,19.0,2.0,9.0,0.0,3.0,2.0,0.0
11/09/10,Lyon,Valenciennes,1,1,D,1.0,0.0,H,17.0,11.0,2.0,5.0,9.0,19.0,9.0,4.0,0.0,0.0,0.0,0.0
11/09/10,Montpellier,Nancy,1,2,A,0.0,2.0,A,17.0,15.0,4.0,5.0,12.0,11.0,9.0,2.0,2.0,2.0,0.0,1.0
11/09/10,Paris SG,Arles,4,0,H,2.0,0.0,H,22.0,11.0,7.0,5.0,8.0,16.0,10.0,5.0,0.0,0.0,0.0,0.0
11/09/10,Rennes,Sochaux,2,1,H,1.0,1.0,D,17.0,15.0,5.0,9.0,17.0,17.0,9.0,3.0,3.0,1.0,0.0,0.0
11/09/10,Toulouse,St Etienne,0,1,A,0.0,1.0,A,11.0,9.0,0.0,3.0,16.0,13.0,3.0,3.0,2.0,2.0,0.0,0.0
12/09/10,Brest,Lorient,0,0,D,0.0,0.0,D,17.0,9.0,2.0,1.0,23.0,18.0,5.0,5.0,0.0,1.0,0.0,0.0
12/09/10,Marseille,Monaco,2,2,D,1.0,1.0,D,26.0,8.0,10.0,4.0,14.0,23.0,3.0,2.0,1.0,3.0,0.0,0.0
12/09/10,Nice,Bordeaux,2,1,H,1.0,0.0,H,12.0,13.0,6.0,4.0,18.0,21.0,6.0,1.0,4.0,2.0,0.0,0.0
18/09/10,Arles,Marseille,0,3,A,0.0,2.0,A,16.0,15.0,6.0,8.0,14.0,12.0,9.0,3.0,2.0,1.0,0.0,0.0
18/09/10,Lorient,Caen,0,1,A,0.0,1.0,A,18.0,13.0,4.0,4.0,12.0,17.0,4.0,1.0,1.0,2.0,0.0,0.0
18/09/10,Monaco,Toulouse,0,0,D,0.0,0.0,D,9.0,10.0,2.0,5.0,13.0,14.0,2.0,5.0,4.0,2.0,0.0,0.0
18/09/10,Nancy,Brest,0,2,A,0.0,0.0,D,16.0,9.0,3.0,5.0,14.0,11.0,6.0,1.0,0.0,1.0,0.0,0.0
18/09/10,Sochaux,Nice,4,0,H,1.0,0.0,H,24.0,11.0,12.0,7.0,17.0,14.0,9.0,4.0,2.0,2.0,0.0,0.0
18/09/10,St Etienne,Montpellier,3,0,H,2.0,0.0,H,10.0,13.0,4.0,1.0,17.0,21.0,3.0,2.0,0.0,1.0,0.0,0.0
18/09/10,Valenciennes,Lens,1,1,D,0.0,0.0,D,10.0,12.0,2.0,3.0,18.0,10.0,1.0,7.0,2.0,3.0,0.0,0.0
19/09/10,Bordeaux,Lyon,2,0,H,0.0,0.0,D,19.0,10.0,5.0,1.0,15.0,23.0,7.0,4.0,3.0,3.0,0.0,0.0
19/09/10,Lille,Auxerre,1,0,H,0.0,0.0,D,11.0,8.0,1.0,2.0,13.0,15.0,6.0,3.0,2.0,2.0,0.0,0.0
19/09/10,Paris SG,Rennes,0,0,D,0.0,0.0,D,11.0,10.0,2.0,2.0,19.0,15.0,5.0,0.0,0.0,1.0,0.0,0.0
25/09/10,Auxerre,Nancy,2,2,D,2.0,2.0,D,17.0,7.0,5.0,3.0,9.0,18.0,3.0,1.0,3.0,2.0,0.0,0.0
25/09/10,Caen,Bordeaux,0,0,D,0.0,0.0,D,3.0,14.0,1.0,4.0,23.0,13.0,3.0,2.0,2.0,2.0,0.0,0.0
25/09/10,Lorient,Monaco,2,1,H,1.0,1.0,D,24.0,2.0,6.0,1.0,8.0,20.0,8.0,0.0,1.0,4.0,0.0,1.0
