Date,HomeTeam,AwayTeam,FullTime_HomeTeam_Goals,FullTime_AwayTeam_Goals,FullTime_Result,HalfTime_HomeTeam_Goals,HalfTime_AwayTeam_Goals,HalfTime_Result,HomeTeam_Shots,AwayTeam_Shots,HomeTeam_ShotsOnTarget,AwayTeam_ShotsOnTarget,HomeTeam_FoulsCommitted,AwayTeam_FoulsCommitted,HomeTeam_Corners,AwayTeam_Corners,HomeTeam_YellowCards,AwayTeam_YellowCards,HomeTeam_RedCards,AwayTeam_RedCards
28/08/10,Roma,Cesena,0,0,D,0.0,0.0,D,24.0,13.0,5.0,3.0,11.0,17.0,10.0,8.0,3.0,3.0,0.0,0.0
28/08/10,Udinese,Genoa,0,1,A,0.0,0.0,D,14.0,9.0,6.0,4.0,12.0,15.0,9.0,3.0,2.0,3.0,0.0,0.0
29/08/10,Bari,Juventus,1,0,H,1.0,0.0,H,20.0,18.0,5.0,2.0,14.0,12.0,7.0,4.0,1.0,2.0,0.0,0.0
29/08/10,Chievo,Catania,2,1,H,1.0,1.0,D,11.0,11.0,7.0,4.0,18.0,18.0,4.0,4.0,0.0,2.0,0.0,0.0
29/08/10,Fiorentina,Napoli,1,1,D,0.0,1.0,A,19.0,12.0,8.0,2.0,18.0,16.0,7.0,6.0,2.0,4.0,1.0,1.0
29/08/10,Milan,Lecce,4,0,H,3.0,0.0,H,26.0,13.0,13.0,3.0,16.0,13.0,6.0,3.0,0.0,1.0,0.0,0.0
29/08/10,Palermo,Cagliari,0,0,D,0.0,0.0,D,13.0,14.0,4.0,3.0,12.0,20.0,8.0,1.0,0.0,3.0,0.0,0.0
29/08/10,Parma,Brescia,2,0,H,2.0,0.0,H,18.0,14.0,9.0,3.0,24.0,14.0,3.0,6.0,0.0,3.0,0.0,0.0
29/08/10,Sampdoria,Lazio,2,0,H,0.0,0.0,D,11.0,18.0,4.0,1.0,9.0,24.0,3.0,5.0,1.0,4.0,0.0,0.0
30/08/10,Bologna,Inter,0,0,D,0.0,0.0,D,9.0,22.0,3.0,7.0,20.0,16.0,2.0,7.0,3.0,2.0,0.0,0.0
11/09/10,Cagliari,Roma,5,1,H,3.0,1.0,H,12.0,17.0,7.0,6.0,23.0,9.0,4.0,9.0,3.0,2.0,0.0,1.0
11/09/10,Cesena,Milan,2,0,H,2.0,0.0,H,17.0,19.0,4.0,5.0,14.0,12.0,9.0,12.0,0.0,1.0,0.0,0.0
11/09/10,Inter,Udinese,2,1,H,1.0,1.0,D,17.0,14.0,6.0,4.0,17.0,19.0,6.0,3.0,2.0,3.0,0.0,0.0
12/09/10,Brescia,Palermo,3,2,H,3.0,1.0,H,17.0,23.0,6.0,11.0,17.0,17.0,2.0,6.0,2.0,2.0,0.0,0.0
12/09/10,Catania,Parma,2,1,H,1.0,0.0,H,10.0,16.0,3.0,4.0,14.0,17.0,5.0,10.0,1.0,5.0,0.0,1.0
12/09/10,Genoa,Chievo,1,3,A,1.0,1.0,D,14.0,12.0,7.0,8.0,10.0,20.0,9.0,6.0,1.0,0.0,0.0,0.0
12/09/10,Juventus,Sampdoria,3,3,D,1.0,1.0,D,25.0,11.0,10.0,5.0,14.0,13.0,4.0,3.0,1.0,0.0,0.0,0.0
12/09/10,Lazio,Bologna,3,1,H,0.0,0.0,D,15.0,14.0,7.0,1.0,14.0,23.0,7.0,4.0,1.0,1.0,0.0,0.0
12/09/10,Lecce,Fiorentina,1,0,H,1.0,0.0,H,9.0,11.0,4.0,3.0,21.0,15.0,3.0,3.0,2.0,1.0,0.0,0.0
12/09/10,Napoli,Bari,2,2,D,1.0,1.0,D,19.0,12.0,6.0,8.0,7.0,12.0,12.0,4.0,1.0,4.0,0.0,0.0
18/09/10,Fiorentina,Lazio,1,2,A,1.0,1.0,D,18.0,15.0,4.0,6.0,26.0,10.0,8.0,1.0,1.0,1.0,0.0,0.0
18/09/10,Milan,Catania,1,1,D,1.0,1.0,D,12.0,14.0,3.0,6.0,11.0,17.0,8.0,2.0,2.0,2.0,0.0,0.0
19/09/10,Bari,Cagliari,0,0,D,0.0,0.0,D,10.0,7.0,0.0,1.0,11.0,9.0,3.0,1.0,1.0,1.0,0.0,0.0
19/09/10,Cesena,Lecce,1,0,H,0.0,0.0,D,10.0,14.0,4.0,2.0,13.0,18.0,8.0,3.0,1.0,3.0,1.0,1.0
19/09/10,Chievo,Brescia,0,1,A,0.0,1.0,A,14.0,13.0,1.0,5.0,22.0,17.0,6.0,5.0,3.0,1.0,0.0,0.0
19/09/10,Palermo,Inter,1,2,A,1.0,0.0,H,16.0,21.0,5.0,6.0,11.0,6.0,5.0,7.0,2.0,0.0,0.0,0.0
19/09/10,Parma,Genoa,1,1,D,0.0,1.0,A,14.0,7.0,3.0,3.0,15.0,29.0,4.0,2.0,2.0,5.0,0.0,0.0
19/09/10,Roma,Bologna,2,2,D,1.0,0.0,H,17.0,21.0,4.0,5.0,14.0,17.0,10.0,6.0,1.0,4.0,0.0,0.0
19/09/10,Sampdoria,Napoli,1,2,A,0.0,0.0,D,10.0,15.0,2.0,3.0,15.0,23.0,4.0,11.0,3.0,6.0,0.0,0.0
19/09/10,Udinese,Juventus,0,4,A,0.0,3.0,A,12.0,19.0,4.0,9.0,19.0,26.0,6.0,8.0,0.0,4.0,0.0,0.0
22/09/10,Bologna,Udinese,2,1,H,1.0,1.0,D,13.0,16.0,4.0,7.0,17.0,24.0,4.0,6.0,2.0,3.0,0.0,0.0
22/09/10,Brescia,Roma,2,1,H,1.0,0.0,H,6.0,24.0,3.0,8.0,23.0,20.0,2.0,9.0,1.0,3.0,0.0,1.0
22/09/10,Cagliari,Sampdoria,0,0,D,0.0,0.0,D,9.0,8.0,3.0,2.0,21.0,15.0,3.0,1.0,2.0,1.0,0.0,0.0
22/09/10,Catania,Cesena,2,0,H,1.0,0.0,H,14.0,10.0,3.0,2.0,14.0,18.0,4.0,2.0,3.0,3.0,0.0,0.0
22/09/10,Genoa,Fiorentina,1,1,D,1.0,1.0,D,18.0,8.0,8.0,4.0,17.0,16.0,5.0,0.0,3.0,2.0,0.0,0.0
22/09/10,Inter,Bari,4,0,H,1.0,0.0,H,18.0,10.0,4.0,3.0,9.0,14.0,5.0,5.0,1.0,1.0,0.0,0.0
22/09/10,Lazio,Milan,1,1,D,0.0,0.0,D,11.0,13.0,6.0,3.0,12.0,17.0,5.0,9.0,0.0,1.0,0.0,0.0
22/09/10,Lecce,Parma,1,1,D,1.0,0.0,H,13.0,11.0,5.0,4.0,25.0,10.0,5.0,3.0,0.0,1.0,0.0,0.0
22/09/10,Napoli,Chievo,1,3,A,1.0,1.0,D,18.0,16.0,6.0,6.0,13.0,13.0,7.0,6.0,1.0,1.0,0.0,0.0
23/09/10,Juventus,Palermo,1,3,A,0.0,1.0,A,27.0,11.0,9.0,8.0,13.0,17.0,10.0,2.0,1.0,3.0,0.0,0.0
25/09/10,Milan,Genoa,1,0,H,0.0,0.0,D,13.0,8.0,5.0,2.0,17.0,18.0,1.0,5.0,1.0,2.0,0.0,0.0
25/09/10,Roma,Inter,1,0,H,0.0,0.0,D,17.0,25.0,4.0,4.0,19.0,17.0,4.0,6.0,4.0,4.0,0.0,0.0
26/09/10,Bari,Brescia,2,1,H,1.0,1.0,D,15.0,14.0,8.0,5.0,20.0,18.0,6.0,3.0,1.0,4.0,0.0,0.0
